"","antibody","abundance"
"value_reported.FIM_IgG4","FIM_IgG4",270.389776357827
"value_reported.TT_IgG3","TT_IgG3",149.536741214057
"value_reported.IPV1_IgG3","IPV1_IgG3",170.712460063898
"value_reported.ACT_FcgR2a","ACT_FcgR2a",436.58945686901
"value_reported.TT_ADNP","TT_ADNP",11.241214057508
"value_reported.FHA_IgG","FHA_IgG",49.2408470087424
"value_reported.PRN_FcgR2a","PRN_FcgR2a",1936.5607028754
"value_reported.IPV3_ADCD","IPV3_ADCD",347.776357827476
"value_reported.IPV1_IgG4","IPV1_IgG4",152.915335463259
"value_reported.PT_FcgR2a","PT_FcgR2a",2149.19169329074
"value_reported.IPV2_IgG2","IPV2_IgG2",39.5399361022364
"value_reported.PRN_ADNP","PRN_ADNP",44.3897763578275
"value_reported.DT_FcgR3b","DT_FcgR3b",1979.70127795527
"value_reported.IPV3_FcgR2a","IPV3_FcgR2a",932.222044728435
"value_reported.DT_FcgR2a","DT_FcgR2a",5016.77476038339
"value_reported.TT_ADCD","TT_ADCD",1445.17252396166
"value_reported.IPV2_IgG4","IPV2_IgG4",958.292332268371
"value_reported.PT_FcgR3b","PT_FcgR3b",975.928115015975
"value_reported.IPV2_ADCD","IPV2_ADCD",288.504792332268
"value_reported.FIM_IgG","FIM_IgG",44.2713633370392
"value_reported.TT_IgG4","TT_IgG4",1768.07348242812
"value_reported.FHA_FcgR2a","FHA_FcgR2a",3061.79872204473
"value_reported.TT_IgG2","TT_IgG2",165.958466453674
"value_reported.IPV1_FcgR3b","IPV1_FcgR3b",525.08785942492
"value_reported.FIM_ADCD","FIM_ADCD",291.338658146965
"value_reported.FHA_FcgR3b","FHA_FcgR3b",950.956869009585
"value_reported.TT_FcgR3b","TT_FcgR3b",1047.30031948882
"value_reported.PRN_IgG3","PRN_IgG3",83.9744408945687
"value_reported.PRN_IgG","PRN_IgG",71.3977308373527
"value_reported.DT_ADCP","DT_ADCP",9.99520766773163
"value_reported.IPV3_FcgR3b","IPV3_FcgR3b",474.210862619808
"value_reported.PT_IgG2","PT_IgG2",94.4025559105432
"value_reported.ACT_IgG1","ACT_IgG1",166.52875399361
"value_reported.FIM_IgG1","FIM_IgG1",1327.02875399361
"value_reported.ACT_FcgR3b","ACT_FcgR3b",59.6006389776358
"value_reported.IPV1_ADCD","IPV1_ADCD",284.891373801917
"value_reported.FIM_FcgR3b","FIM_FcgR3b",703.833865814696
"value_reported.DT_ADCD","DT_ADCD",2109.29392971246
"value_reported.PT_IgG4","PT_IgG4",563.437699680513
"value_reported.PRN_IgG4","PRN_IgG4",35.4488817891373
"value_reported.IPV2_FcgR2a","IPV2_FcgR2a",769.813099041536
"value_reported.PRN_ADCD","PRN_ADCD",1198.19169329074
"value_reported.DT_IgG","DT_IgG",0.391406694506118
"value_reported.IPV1_FcgR2a","IPV1_FcgR2a",988.813099041533
"value_reported.TT_IgG1","TT_IgG1",1608.95686900958
"value_reported.DT_IgG3","DT_IgG3",546.063897763578
"value_reported.FHA_IgG1","FHA_IgG1",1508.57987220447
"value_reported.FHA_ADCD","FHA_ADCD",741.490415335464
"value_reported.TT_FcgR2a","TT_FcgR2a",4204.86900958467
"value_reported.DT_ADNP","DT_ADNP",7.99840255591054
"value_reported.PT_IgG1","PT_IgG1",928.958466453674
"value_reported.FIM_FcgR2a","FIM_FcgR2a",1333.65015974441
"value_reported.PT_IgG3","PT_IgG3",220.474440894569
"value_reported.FIM_IgG3","FIM_IgG3",180.52875399361
"value_reported.ACT_IgG4","ACT_IgG4",35.8642172523962
"value_reported.IPV2_IgG1","IPV2_IgG1",854.723642172523
"value_reported.PRN_FcgR3b","PRN_FcgR3b",300.664536741214
"value_reported.DT_IgG2","DT_IgG2",352.099041533546
"value_reported.FHA_IgG4","FHA_IgG4",1491.85782747604
"value_reported.FIM_IgG2","FIM_IgG2",52.5
"value_reported.TT_ADCP","TT_ADCP",24.591054313099
"value_reported.TT_IgG","TT_IgG",2.11811128608857
"value_reported.ACT_IgG2","ACT_IgG2",36.9345047923323
"value_reported.ACT_ADCD","ACT_ADCD",626.567092651758
"value_reported.DT_IgG4","DT_IgG4",3658.02076677316
"value_reported.PT_ADNP","PT_ADNP",14.6741214057508
"value_reported.IPV3_IgG4","IPV3_IgG4",414.063897763579
"value_reported.FHA_IgG2","FHA_IgG2",189.738019169329
"value_reported.FHA_IgG3","FHA_IgG3",405.0303514377
"value_reported.IPV2_FcgR3b","IPV2_FcgR3b",463.276357827477
"value_reported.IPV3_IgG1","IPV3_IgG1",849.800319488817
"value_reported.IPV3_IgG2","IPV3_IgG2",45.3801916932907
"value_reported.IPV1_IgG1","IPV1_IgG1",1061.74760383387
"value_reported.PT_ADCP","PT_ADCP",14.0958466453674
"value_reported.IPV3_IgG3","IPV3_IgG3",307.915335463259
"value_reported.PRN_IgG2","PRN_IgG2",37.6453674121406
"value_reported.PRN_IgG1","PRN_IgG1",456.38338658147
"value_reported.ACT_IgG3","ACT_IgG3",93.4041533546326
"value_reported.IPV2_IgG3","IPV2_IgG3",501.972843450479
"value_reported.DT_IgG1","DT_IgG1",2213.43450479233
"value_reported.PRN_ADCP","PRN_ADCP",26.8738019169329
"value_reported.PT_IgG","PT_IgG",94.3665434424972
"value_reported.PT_ADCD","PT_ADCD",1259.79392971246
