"","antibody","abundance"
"value_reported.FIM_IgG4","FIM_IgG4",16.9958333333333
"value_reported.TT_IgG3","TT_IgG3",45.7041666666667
"value_reported.IPV1_IgG3","IPV1_IgG3",81.5791666666667
"value_reported.ACT_FcgR2a","ACT_FcgR2a",715.908333333334
"value_reported.TT_ADNP","TT_ADNP",15.1375
"value_reported.FHA_IgG","FHA_IgG",79.5053661918514
"value_reported.PRN_FcgR2a","PRN_FcgR2a",1688.37083333333
"value_reported.IPV3_ADCD","IPV3_ADCD",244.925
"value_reported.IPV1_IgG4","IPV1_IgG4",42.3166666666667
"value_reported.PT_FcgR2a","PT_FcgR2a",957.133333333333
"value_reported.IPV2_IgG2","IPV2_IgG2",37.45
"value_reported.PRN_ADNP","PRN_ADNP",35.75
"value_reported.DT_FcgR3b","DT_FcgR3b",671.316666666666
"value_reported.IPV3_FcgR2a","IPV3_FcgR2a",502.595833333333
"value_reported.DT_FcgR2a","DT_FcgR2a",2654.74583333333
"value_reported.TT_ADCD","TT_ADCD",1517.95
"value_reported.IPV2_IgG4","IPV2_IgG4",155.779166666666
"value_reported.PT_FcgR3b","PT_FcgR3b",528.554166666667
"value_reported.IPV2_ADCD","IPV2_ADCD",267.2625
"value_reported.FIM_IgG","FIM_IgG",6.90385960148222
"value_reported.TT_IgG4","TT_IgG4",8935.39583333333
"value_reported.FHA_FcgR2a","FHA_FcgR2a",4853.32916666667
"value_reported.TT_IgG2","TT_IgG2",591.4625
"value_reported.IPV1_FcgR3b","IPV1_FcgR3b",201.633333333333
"value_reported.FIM_ADCD","FIM_ADCD",158.625
"value_reported.FHA_FcgR3b","FHA_FcgR3b",2917.59583333333
"value_reported.TT_FcgR3b","TT_FcgR3b",2794.2125
"value_reported.PRN_IgG3","PRN_IgG3",36.825
"value_reported.PRN_IgG","PRN_IgG",77.9580906163302
"value_reported.DT_ADCP","DT_ADCP",8.89166666666667
"value_reported.IPV3_FcgR3b","IPV3_FcgR3b",180.183333333333
"value_reported.PT_IgG2","PT_IgG2",38.5375
"value_reported.ACT_IgG1","ACT_IgG1",245.558333333333
"value_reported.FIM_IgG1","FIM_IgG1",566.179166666667
"value_reported.ACT_FcgR3b","ACT_FcgR3b",140.9
"value_reported.IPV1_ADCD","IPV1_ADCD",230.0125
"value_reported.FIM_FcgR3b","FIM_FcgR3b",39.425
"value_reported.DT_ADCD","DT_ADCD",1542.43333333333
"value_reported.PT_IgG4","PT_IgG4",33.2
"value_reported.PRN_IgG4","PRN_IgG4",55.4916666666666
"value_reported.IPV2_FcgR2a","IPV2_FcgR2a",405.2
"value_reported.PRN_ADCD","PRN_ADCD",780.629166666666
"value_reported.DT_IgG","DT_IgG",0.201539283343142
"value_reported.IPV1_FcgR2a","IPV1_FcgR2a",487.470833333333
"value_reported.TT_IgG1","TT_IgG1",3079.42083333333
"value_reported.DT_IgG3","DT_IgG3",56.9583333333333
"value_reported.FHA_IgG1","FHA_IgG1",2608.775
"value_reported.FHA_ADCD","FHA_ADCD",888.308333333334
"value_reported.TT_FcgR2a","TT_FcgR2a",7436.7125
"value_reported.DT_ADNP","DT_ADNP",7.27916666666667
"value_reported.PT_IgG1","PT_IgG1",381.8
"value_reported.FIM_FcgR2a","FIM_FcgR2a",268.525
"value_reported.PT_IgG3","PT_IgG3",36.4583333333333
"value_reported.FIM_IgG3","FIM_IgG3",35.1666666666667
"value_reported.ACT_IgG4","ACT_IgG4",35.2791666666667
"value_reported.IPV2_IgG1","IPV2_IgG1",463.879166666667
"value_reported.PRN_FcgR3b","PRN_FcgR3b",626.716666666666
"value_reported.DT_IgG2","DT_IgG2",193.870833333333
"value_reported.FHA_IgG4","FHA_IgG4",1296.05
"value_reported.FIM_IgG2","FIM_IgG2",52.8666666666667
"value_reported.TT_ADCP","TT_ADCP",40.8208333333333
"value_reported.TT_IgG","TT_IgG",2.78182272796836
"value_reported.ACT_IgG2","ACT_IgG2",33.1875
"value_reported.ACT_ADCD","ACT_ADCD",576.3625
"value_reported.DT_IgG4","DT_IgG4",3231.90833333333
"value_reported.PT_ADNP","PT_ADNP",10.1875
"value_reported.IPV3_IgG4","IPV3_IgG4",203.666666666666
"value_reported.FHA_IgG2","FHA_IgG2",270.8875
"value_reported.FHA_IgG3","FHA_IgG3",141.425
"value_reported.IPV2_FcgR3b","IPV2_FcgR3b",203.725
"value_reported.IPV3_IgG1","IPV3_IgG1",378.529166666667
"value_reported.IPV3_IgG2","IPV3_IgG2",44.2666666666667
"value_reported.IPV1_IgG1","IPV1_IgG1",518.904166666666
"value_reported.PT_ADCP","PT_ADCP",8.525
"value_reported.IPV3_IgG3","IPV3_IgG3",199.25
"value_reported.PRN_IgG2","PRN_IgG2",38.3041666666667
"value_reported.PRN_IgG1","PRN_IgG1",463.279166666667
"value_reported.ACT_IgG3","ACT_IgG3",58.0583333333333
"value_reported.IPV2_IgG3","IPV2_IgG3",164.841666666667
"value_reported.DT_IgG1","DT_IgG1",902.116666666668
"value_reported.PRN_ADCP","PRN_ADCP",22.65
"value_reported.PT_IgG","PT_IgG",31.8132370466342
"value_reported.PT_ADCD","PT_ADCD",906.408333333334
