"","V1","V2"
"1","FIM_IgG4","TT_IgG4"
"2","FIM_IgG4","FIM_FcgR3b"
"3","FIM_IgG4","PRN_IgG4"
"4","FIM_IgG4","FIM_IgG3"
"5","FIM_IgG4","DT_IgG4"
"6","TT_IgG3","DT_FcgR3b"
"7","TT_IgG3","TT_IgG4"
"8","TT_IgG3","TT_FcgR3b"
"9","TT_IgG3","PRN_IgG3"
"10","TT_IgG3","FIM_FcgR3b"
"11","TT_IgG3","DT_IgG3"
"12","TT_IgG3","FIM_FcgR2a"
"13","TT_IgG3","PT_IgG3"
"14","TT_IgG3","FHA_IgG3"
"15","IPV1_IgG3","IPV1_IgG4"
"16","IPV1_IgG3","DT_FcgR3b"
"17","IPV1_IgG3","IPV1_FcgR3b"
"18","IPV1_IgG3","IPV1_FcgR2a"
"19","IPV1_IgG3","IPV1_IgG1"
"20","IPV1_IgG3","IPV3_IgG3"
"21","IPV1_IgG3","IPV2_IgG3"
"22","ACT_FcgR2a","FHA_IgG"
"23","ACT_FcgR2a","FHA_FcgR2a"
"24","ACT_FcgR2a","FHA_FcgR3b"
"25","ACT_FcgR2a","ACT_IgG1"
"26","ACT_FcgR2a","ACT_FcgR3b"
"27","ACT_FcgR2a","IPV2_FcgR2a"
"28","ACT_FcgR2a","FIM_FcgR2a"
"29","ACT_FcgR2a","PT_IgG3"
"30","ACT_FcgR2a","ACT_IgG2"
"31","ACT_FcgR2a","ACT_IgG3"
"32","TT_ADNP","PRN_ADNP"
"33","TT_ADNP","TT_IgG4"
"34","TT_ADNP","TT_FcgR3b"
"35","TT_ADNP","TT_ADCP"
"36","TT_ADNP","PT_ADNP"
"37","FHA_IgG","PT_FcgR3b"
"38","FHA_IgG","IPV2_ADCD"
"39","FHA_IgG","FHA_FcgR2a"
"40","FHA_IgG","FHA_FcgR3b"
"41","FHA_IgG","TT_FcgR3b"
"42","FHA_IgG","PRN_IgG"
"43","FHA_IgG","FIM_IgG1"
"44","FHA_IgG","FHA_IgG1"
"45","FHA_IgG","FHA_ADCD"
"46","FHA_IgG","PT_IgG1"
"47","FHA_IgG","PT_IgG3"
"48","FHA_IgG","PRN_FcgR3b"
"49","FHA_IgG","FHA_IgG4"
"50","FHA_IgG","DT_IgG4"
"51","FHA_IgG","FHA_IgG2"
"52","FHA_IgG","FHA_IgG3"
"53","FHA_IgG","PT_IgG"
"54","PRN_FcgR2a","PT_FcgR2a"
"55","PRN_FcgR2a","DT_FcgR3b"
"56","PRN_FcgR2a","DT_FcgR2a"
"57","PRN_FcgR2a","FHA_FcgR2a"
"58","PRN_FcgR2a","PRN_IgG3"
"59","PRN_FcgR2a","PRN_IgG"
"60","PRN_FcgR2a","PRN_ADCD"
"61","PRN_FcgR2a","TT_FcgR2a"
"62","PRN_FcgR2a","PRN_FcgR3b"
"63","PRN_FcgR2a","PRN_IgG2"
"64","PRN_FcgR2a","PRN_IgG1"
"65","IPV3_ADCD","IPV3_FcgR2a"
"66","IPV3_ADCD","IPV2_ADCD"
"67","IPV3_ADCD","IPV3_IgG1"
"68","IPV3_ADCD","PT_ADCD"
"69","IPV1_IgG4","IPV2_IgG4"
"70","IPV1_IgG4","DT_IgG4"
"71","PT_FcgR2a","DT_FcgR2a"
"72","PT_FcgR2a","PT_FcgR3b"
"73","PT_FcgR2a","TT_FcgR3b"
"74","PT_FcgR2a","PT_IgG2"
"75","PT_FcgR2a","IPV2_FcgR2a"
"76","PT_FcgR2a","IPV1_FcgR2a"
"77","PT_FcgR2a","TT_FcgR2a"
"78","PT_FcgR2a","PT_IgG1"
"79","PT_FcgR2a","PT_IgG3"
"80","PT_FcgR2a","PT_IgG"
"81","PT_FcgR2a","PT_ADCD"
"82","IPV2_IgG2","IPV2_IgG1"
"83","IPV2_IgG2","IPV2_FcgR3b"
"84","IPV2_IgG2","IPV2_IgG3"
"85","PRN_ADNP","DT_ADCP"
"86","PRN_ADNP","FIM_IgG1"
"87","PRN_ADNP","FIM_FcgR2a"
"88","PRN_ADNP","PRN_FcgR3b"
"89","PRN_ADNP","TT_ADCP"
"90","PRN_ADNP","PT_ADNP"
"91","PRN_ADNP","PT_ADCP"
"92","PRN_ADNP","PRN_ADCP"
"93","DT_FcgR3b","DT_FcgR2a"
"94","DT_FcgR3b","IPV2_IgG4"
"95","DT_FcgR3b","PT_FcgR3b"
"96","DT_FcgR3b","FIM_IgG"
"97","DT_FcgR3b","TT_IgG4"
"98","DT_FcgR3b","IPV1_FcgR3b"
"99","DT_FcgR3b","TT_FcgR3b"
"100","DT_FcgR3b","PRN_IgG3"
"101","DT_FcgR3b","IPV3_FcgR3b"
"102","DT_FcgR3b","ACT_IgG1"
"103","DT_FcgR3b","FIM_IgG1"
"104","DT_FcgR3b","FIM_FcgR3b"
"105","DT_FcgR3b","DT_IgG"
"106","DT_FcgR3b","TT_IgG1"
"107","DT_FcgR3b","DT_IgG3"
"108","DT_FcgR3b","FHA_IgG1"
"109","DT_FcgR3b","FHA_ADCD"
"110","DT_FcgR3b","FIM_FcgR2a"
"111","DT_FcgR3b","PRN_FcgR3b"
"112","DT_FcgR3b","DT_IgG2"
"113","DT_FcgR3b","IPV2_FcgR3b"
"114","DT_FcgR3b","IPV2_IgG3"
"115","DT_FcgR3b","DT_IgG1"
"116","IPV3_FcgR2a","FIM_ADCD"
"117","IPV3_FcgR2a","FHA_FcgR3b"
"118","IPV3_FcgR2a","IPV3_FcgR3b"
"119","IPV3_FcgR2a","IPV2_FcgR2a"
"120","IPV3_FcgR2a","IPV1_FcgR2a"
"121","IPV3_FcgR2a","IPV3_IgG1"
"122","IPV3_FcgR2a","IPV3_IgG3"
"123","DT_FcgR2a","PRN_IgG"
"124","DT_FcgR2a","IPV1_FcgR2a"
"125","DT_FcgR2a","DT_IgG3"
"126","DT_FcgR2a","TT_FcgR2a"
"127","DT_FcgR2a","DT_IgG2"
"128","DT_FcgR2a","DT_IgG1"
"129","TT_ADCD","PRN_ADCD"
"130","IPV2_IgG4","FIM_IgG1"
"131","IPV2_IgG4","DT_IgG3"
"132","IPV2_IgG4","FIM_IgG3"
"133","IPV2_IgG4","FHA_IgG4"
"134","IPV2_IgG4","DT_IgG4"
"135","IPV2_IgG4","IPV3_IgG4"
"136","IPV2_IgG4","IPV2_FcgR3b"
"137","IPV2_IgG4","IPV2_IgG3"
"138","PT_FcgR3b","IPV1_FcgR3b"
"139","PT_FcgR3b","FHA_FcgR3b"
"140","PT_FcgR3b","TT_FcgR3b"
"141","PT_FcgR3b","PRN_IgG"
"142","PT_FcgR3b","PT_IgG2"
"143","PT_FcgR3b","FIM_IgG1"
"144","PT_FcgR3b","FIM_FcgR3b"
"145","PT_FcgR3b","PT_IgG4"
"146","PT_FcgR3b","FHA_ADCD"
"147","PT_FcgR3b","PT_IgG1"
"148","PT_FcgR3b","PT_IgG3"
"149","PT_FcgR3b","PRN_FcgR3b"
"150","PT_FcgR3b","FHA_IgG4"
"151","PT_FcgR3b","PT_ADNP"
"152","PT_FcgR3b","PT_ADCP"
"153","PT_FcgR3b","PT_IgG"
"154","IPV2_ADCD","IPV1_ADCD"
"155","IPV2_ADCD","FHA_ADCD"
"156","IPV2_ADCD","IPV2_IgG1"
"157","FIM_IgG","FIM_ADCD"
"158","FIM_IgG","TT_FcgR3b"
"159","FIM_IgG","PRN_IgG3"
"160","FIM_IgG","PT_IgG2"
"161","FIM_IgG","FIM_IgG1"
"162","FIM_IgG","FIM_FcgR3b"
"163","FIM_IgG","FIM_FcgR2a"
"164","FIM_IgG","FIM_IgG3"
"165","FIM_IgG","PRN_FcgR3b"
"166","FIM_IgG","FIM_IgG2"
"167","FIM_IgG","TT_IgG"
"168","FIM_IgG","PT_ADNP"
"169","FIM_IgG","FHA_IgG2"
"170","FIM_IgG","FHA_IgG3"
"171","FIM_IgG","IPV2_IgG3"
"172","FIM_IgG","PRN_ADCP"
"173","FIM_IgG","PT_IgG"
"174","TT_IgG4","TT_IgG2"
"175","TT_IgG4","FIM_ADCD"
"176","TT_IgG4","PT_IgG4"
"177","TT_IgG4","PRN_IgG4"
"178","TT_IgG4","FHA_ADCD"
"179","TT_IgG4","PT_IgG1"
"180","TT_IgG4","FIM_IgG3"
"181","TT_IgG4","FHA_IgG4"
"182","TT_IgG4","DT_IgG4"
"183","TT_IgG4","IPV2_FcgR3b"
"184","FHA_FcgR2a","FHA_FcgR3b"
"185","FHA_FcgR2a","FHA_IgG1"
"186","FHA_FcgR2a","FHA_ADCD"
"187","FHA_FcgR2a","TT_FcgR2a"
"188","FHA_FcgR2a","FHA_IgG2"
"189","FHA_FcgR2a","FHA_IgG3"
"190","TT_IgG2","FIM_FcgR3b"
"191","TT_IgG2","TT_IgG1"
"192","TT_IgG2","TT_FcgR2a"
"193","TT_IgG2","FIM_FcgR2a"
"194","TT_IgG2","DT_IgG2"
"195","TT_IgG2","FHA_IgG2"
"196","IPV1_FcgR3b","FHA_FcgR3b"
"197","IPV1_FcgR3b","IPV3_FcgR3b"
"198","IPV1_FcgR3b","FIM_FcgR3b"
"199","IPV1_FcgR3b","IPV1_FcgR2a"
"200","IPV1_FcgR3b","IPV2_IgG1"
"201","IPV1_FcgR3b","FHA_IgG3"
"202","IPV1_FcgR3b","IPV2_FcgR3b"
"203","IPV1_FcgR3b","IPV1_IgG1"
"204","FIM_ADCD","IPV3_FcgR3b"
"205","FIM_ADCD","FIM_IgG1"
"206","FIM_ADCD","FIM_FcgR3b"
"207","FIM_ADCD","PRN_ADCD"
"208","FIM_ADCD","TT_IgG1"
"209","FIM_ADCD","FIM_FcgR2a"
"210","FIM_ADCD","FIM_IgG3"
"211","FIM_ADCD","PRN_FcgR3b"
"212","FIM_ADCD","FIM_IgG2"
"213","FIM_ADCD","ACT_ADCD"
"214","FIM_ADCD","IPV2_FcgR3b"
"215","FHA_FcgR3b","TT_FcgR3b"
"216","FHA_FcgR3b","ACT_IgG1"
"217","FHA_FcgR3b","ACT_FcgR3b"
"218","FHA_FcgR3b","FHA_IgG1"
"219","FHA_FcgR3b","PT_IgG3"
"220","FHA_FcgR3b","PRN_FcgR3b"
"221","FHA_FcgR3b","FHA_IgG4"
"222","FHA_FcgR3b","DT_IgG4"
"223","FHA_FcgR3b","FHA_IgG2"
"224","FHA_FcgR3b","FHA_IgG3"
"225","FHA_FcgR3b","IPV2_FcgR3b"
"226","FHA_FcgR3b","IPV3_IgG3"
"227","FHA_FcgR3b","ACT_IgG3"
"228","TT_FcgR3b","FIM_IgG1"
"229","TT_FcgR3b","FIM_FcgR3b"
"230","TT_FcgR3b","TT_IgG1"
"231","TT_FcgR3b","DT_IgG3"
"232","TT_FcgR3b","FHA_IgG1"
"233","TT_FcgR3b","TT_FcgR2a"
"234","TT_FcgR3b","IPV2_IgG1"
"235","TT_FcgR3b","PRN_FcgR3b"
"236","TT_FcgR3b","FHA_IgG4"
"237","TT_FcgR3b","TT_ADCP"
"238","TT_FcgR3b","TT_IgG"
"239","TT_FcgR3b","FHA_IgG3"
"240","TT_FcgR3b","IPV1_IgG1"
"241","TT_FcgR3b","IPV2_IgG3"
"242","TT_FcgR3b","PT_IgG"
"243","PRN_IgG3","PRN_IgG"
"244","PRN_IgG3","FIM_FcgR3b"
"245","PRN_IgG3","DT_IgG3"
"246","PRN_IgG3","FIM_FcgR2a"
"247","PRN_IgG3","PT_IgG3"
