name,Cluster,Node_Status,Score
TT_IgG4,Cluster1,Clustered,4.86
FHA_IgG,Cluster1,Clustered,5.270655271
FHA_IgG1,Cluster1,Seed,5.947368421
IPV1_FcgR3b,Cluster1,Clustered,5.470588235
ACT_IgG1,Cluster1,Clustered,5.357142857
PRN_IgG,Cluster1,Clustered,4.862745098
ACT_FcgR3b,Cluster1,Clustered,5.571428571
FHA_IgG4,Cluster1,Clustered,5.2
ACT_IgG3,Cluster1,Clustered,5.571428571
PT_FcgR3b,Cluster1,Clustered,5.235294118
FIM_IgG1,Cluster1,Clustered,4.769230769
FHA_ADCD,Cluster1,Clustered,5.019607843
PT_IgG1,Cluster1,Clustered,4.783333333
ACT_ADCD,Cluster1,Clustered,5.294871795
PT_IgG,Cluster1,Clustered,5.205128205
PRN_ADCD,Cluster1,Clustered,5.235294118
IPV2_IgG1,Cluster1,Clustered,5.470588235
IPV3_FcgR3b,Cluster1,Clustered,5.133333333
PT_ADCD,Cluster1,Clustered,4.8
IPV2_IgG4,Cluster1,Clustered,4.8
DT_FcgR3b,Cluster2,Clustered,7.189542484
TT_FcgR3b,Cluster2,Clustered,7.847953216
TT_IgG1,Cluster2,Seed,7.847953216
DT_IgG1,Cluster2,Clustered,7.21978022
TT_ADNP,Cluster2,Clustered,7
PRN_ADNP,Cluster2,Clustered,7
DT_ADCP,Cluster2,Clustered,7
DT_ADNP,Cluster2,Clustered,7
PT_ADNP,Cluster2,Clustered,7
PRN_ADCP,Cluster2,Clustered,7
IPV2_FcgR3b,Cluster2,Clustered,6.942857143
FIM_FcgR3b,Cluster3,Clustered,3
FIM_IgG3,Cluster3,Clustered,2.714285714
FHA_IgG2,Cluster3,Seed,3.137254902
PT_IgG2,Cluster3,Clustered,3
TT_IgG2,Cluster3,Clustered,2.761904762
DT_IgG4,Cluster4,Clustered,3.22
TT_IgG3,Cluster4,Clustered,3.363636364
DT_IgG3,Cluster4,Clustered,3.611111111
FIM_FcgR2a,Cluster4,Clustered,3.486166008
ACT_FcgR2a,Cluster4,Clustered,3.6
IPV2_IgG3,Cluster4,Clustered,3.75
DT_ADCD,Cluster4,Clustered,3.297101449
PRN_FcgR3b,Cluster4,Clustered,3.724137931
DT_FcgR2a,Cluster4,Clustered,3.4
DT_IgG2,Cluster4,Clustered,3.555555556
IPV1_IgG1,Cluster5,Clustered,6.241758242
TT_ADCD,Cluster5,Clustered,5.714285714
IPV3_ADCD,Cluster5,Clustered,7
IPV3_IgG1,Cluster5,Clustered,5.727272727
IPV2_ADCD,Cluster5,Seed,7
IPV1_ADCD,Cluster5,Clustered,6
FIM_ADCD,Cluster6,Clustered,4.464285714
FHA_FcgR3b,Cluster6,Seed,4.71
IPV3_IgG3,Cluster6,Clustered,4
PRN_FcgR2a,Cluster6,Clustered,4.398268398
FHA_FcgR2a,Cluster6,Clustered,3.860294118
TT_FcgR2a,Cluster6,Clustered,4.166666667
PRN_IgG2,Cluster6,Clustered,4
PRN_IgG1,Cluster6,Clustered,4.545454545
IPV3_FcgR2a,Cluster6,Clustered,4.027777778
FIM_IgG4,Unclustered,Unclustered,4
PRN_IgG4,Unclustered,Unclustered,4
PRN_IgG3,Unclustered,Unclustered,1.846153846
PT_IgG3,Unclustered,Unclustered,2.463235294
FHA_IgG3,Unclustered,Unclustered,2.280701754
IPV1_IgG3,Unclustered,Unclustered,2.666666667
IPV1_IgG4,Unclustered,Unclustered,3
IPV1_FcgR2a,Unclustered,Unclustered,1.866666667
PT_FcgR2a,Unclustered,Unclustered,2.463235294
IPV2_FcgR2a,Unclustered,Unclustered,1.79047619
ACT_IgG2,Unclustered,Unclustered,2.7
TT_ADCP,Unclustered,Unclustered,4.141666667
IPV2_IgG2,Unclustered,Unclustered,4
FIM_IgG,Unclustered,Unclustered,3.533333333
DT_IgG,Unclustered,Unclustered,2
PT_ADCP,Unclustered,Unclustered,3.272727273
IPV3_IgG4,Unclustered,Unclustered,2.571428571
IPV3_IgG2,Unclustered,Unclustered,2
PT_IgG4,Unclustered,Unclustered,4
FIM_IgG2,Unclustered,Unclustered,4.761904762
TT_IgG,Unclustered,Unclustered,2.7
ACT_IgG4,Unclustered,Unclustered,1.666666667
