"","V1","V2"
"1","FIM_IgG4","TT_IgG3"
"2","FIM_IgG4","IPV1_IgG3"
"3","FIM_IgG4","PRN_ADNP"
"4","FIM_IgG4","DT_FcgR3b"
"5","FIM_IgG4","IPV2_IgG4"
"6","FIM_IgG4","PT_FcgR3b"
"7","FIM_IgG4","IPV2_ADCD"
"8","FIM_IgG4","FIM_IgG"
"9","FIM_IgG4","FHA_FcgR2a"
"10","FIM_IgG4","IPV1_FcgR3b"
"11","FIM_IgG4","FIM_ADCD"
"12","FIM_IgG4","TT_FcgR3b"
"13","FIM_IgG4","PRN_IgG"
"14","FIM_IgG4","ACT_IgG1"
"15","FIM_IgG4","FIM_IgG1"
"16","FIM_IgG4","ACT_FcgR3b"
"17","FIM_IgG4","FIM_FcgR3b"
"18","FIM_IgG4","PT_IgG4"
"19","FIM_IgG4","PRN_IgG4"
"20","FIM_IgG4","IPV2_FcgR2a"
"21","FIM_IgG4","FHA_IgG1"
"22","FIM_IgG4","TT_FcgR2a"
"23","FIM_IgG4","FIM_FcgR2a"
"24","FIM_IgG4","FIM_IgG3"
"25","FIM_IgG4","FIM_IgG2"
"26","FIM_IgG4","TT_IgG"
"27","FIM_IgG4","DT_IgG4"
"28","FIM_IgG4","IPV3_IgG4"
"29","FIM_IgG4","IPV3_IgG3"
"30","FIM_IgG4","ACT_IgG3"
"31","FIM_IgG4","DT_IgG1"
"32","TT_IgG3","ACT_FcgR2a"
"33","TT_IgG3","PT_FcgR2a"
"34","TT_IgG3","IPV3_FcgR2a"
"35","TT_IgG3","TT_IgG4"
"36","TT_IgG3","TT_FcgR3b"
"37","TT_IgG3","PRN_IgG3"
"38","TT_IgG3","PRN_IgG"
"39","TT_IgG3","PT_IgG2"
"40","TT_IgG3","ACT_IgG1"
"41","TT_IgG3","PT_IgG4"
"42","TT_IgG3","PRN_IgG4"
"43","TT_IgG3","IPV2_FcgR2a"
"44","TT_IgG3","TT_IgG1"
"45","TT_IgG3","DT_IgG3"
"46","TT_IgG3","FIM_FcgR2a"
"47","TT_IgG3","PT_IgG3"
"48","TT_IgG3","FIM_IgG3"
